Indicator,Abs_Corr,R2_Explained
Adj_Close,0.9128363189858942,0.8332701452597172
Boll_%B20,0.9000750268136274,0.8101350538935521
Z20,0.9000750268136272,0.8101350538935517
OBV,0.7773734631811745,0.6043095012582929
RSI14,0.7005880028110774,0.49082354968281416
EMA5,0.6979681801240745,0.48715958046571245
EMA20,0.4234108634835124,0.1792767593158536
SMA5,0.39612923741157635,0.15691837273227702
Volume,0.34010718925556277,0.11567290018331919
SMA20,0.206471991087081,0.04263068310346366
ATR14,0.07129210731865696,0.005082564565934901
ADX14,0.0678376495614203,0.004601946698018068
VOL20,0.05948290791114731,0.0035382163335660314
