Indicator,Abs_Corr,R2_Explained
Adj_Close,0.9120370082131766,0.8318115043504419
Z20,0.9035550097089847,0.8164116555702035
Boll_%B20,0.9035550097089846,0.8164116555702032
OBV,0.7843812333621762,0.6152539192507688
EMA5,0.697224626060707,0.4861221791854927
RSI14,0.6782961108666286,0.46008561401679365
EMA20,0.4207775808960023,0.17705377258469177
SMA5,0.39621766300815714,0.15698843647964558
Volume,0.2629772706314664,0.06915704486877552
SMA20,0.20381119431141792,0.04153900292664655
ADX14,0.10692744893201053,0.011433479335107721
VOL20,0.011994628465312232,0.00014387111202087847
ATR14,0.009100871946635941,8.282587018906507e-05
